Date,Close,Volume,Market Cap,Oil,Gold,ETH,Ripple,Bitcoin Cash,Litecoin,NEO,Cardano,Stellar,EOS,DASH,NEM,ETH Classic,Lisk
"Nov 03, 2015",403.42,206162000,5353680000,46.59,1147.75,1.01,0.005383,0.005383,4.59,4.59,4.59,0.002189,0.002189,2.69,0.000172,0.000172,1
"Nov 04, 2015",411.56,263900000,5973510000,46.59,1147.75,0.89905,0.004947,0.004947,4.23,4.23,4.23,0.00218,0.00218,2.61,0.000151,0.000151,1
"Nov 05, 2015",386.35,151825000,6040410000,46.59,1147.75,0.895637,0.004506,0.004506,3.96,3.96,3.96,0.002012,0.002012,2.53,0.000151,0.000151,1
"Nov 06, 2015",374.47,122687000,5745320000,46.59,1147.75,0.926032,0.004562,0.004562,3.55,3.55,3.55,0.001917,0.001917,2.7,0.000142,0.000142,1
"Nov 07, 2015",386.48,56625100,5542680000,46.59,1147.75,0.927974,0.004694,0.004694,3.6,3.6,3.6,0.002015,0.002015,2.71,0.000164,0.000164,1
"Nov 08, 2015",373.37,51817600,5692390000,46.59,1147.75,1.03,0.004647,0.004647,3.42,3.42,3.42,0.001943,0.001943,2.53,0.000141,0.000141,1
"Nov 09, 2015",380.26,68224400,5546240000,46.59,1147.75,0.999278,0.004609,0.004609,3.4,3.4,3.4,0.002033,0.002033,2.53,0.000152,0.000152,1
"Nov 10, 2015",336.82,95797900,5631520000,44.21,1092.5,0.934348,0.004406,0.004406,3.12,3.12,3.12,0.002039,0.002039,2.42,0.000132,0.000132,1
"Nov 11, 2015",311.08,107070000,5037510000,42.93,1088.6,0.791829,0.004264,0.004264,2.97,2.97,2.97,0.001964,0.001964,2.29,0.000127,0.000127,1
"Nov 12, 2015",338.15,78477800,4657240000,41.75,1087.6,0.895711,0.004541,0.004541,3.28,3.28,3.28,0.002124,0.002124,2.54,0.000132,0.000132,1
"Nov 13, 2015",336.75,52003000,5020700000,40.74,1083.75,0.904096,0.004477,0.004477,3.23,3.23,3.23,0.001974,0.001974,2.53,0.000128,0.000128,1
"Nov 14, 2015",332.91,38612000,4994250000,40.74,1083.75,0.888812,0.004328,0.004328,3.19,3.19,3.19,0.001981,0.001981,2.36,0.000121,0.000121,1
"Nov 15, 2015",320.17,44213100,4942420000,40.74,1083.75,0.906368,0.004165,0.004165,3.07,3.07,3.07,0.001988,0.001988,2.31,0.000112,0.000112,1
"Nov 16, 2015",330.75,47980100,4746070000,41.74,1094.5,0.928962,0.004234,0.004234,3.19,3.19,3.19,0.001922,0.001922,2.31,0.000129,0.000129,1
"Nov 17, 2015",335.09,51001600,4905260000,40.67,1080.8,1.01,0.00425,0.00425,3.2,3.2,3.2,0.002015,0.002015,2.26,0.000097,0.000097,1
"Nov 18, 2015",334.59,43783800,4969330000,40.75,1070.5,0.993319,0.004258,0.004258,3.19,3.19,3.19,0.001909,0.001909,2.36,0.000109,0.000109,1
